cell_id,zone_id,stratum,include,x0,x1,y0,y1,img_path
slavija-centar_r01_c01,1,NA,0,1,18,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c02,1,NA,0,19,37,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c03,1,NA,0,38,56,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c04,1,NA,0,57,75,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c05,1,NA,0,76,94,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c06,1,NA,0,95,113,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c07,1,NA,0,114,131,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c08,1,2,1,132,150,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c09,1,1,1,151,169,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c10,1,1,1,170,188,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c11,1,1,1,189,207,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c12,1,1,1,208,226,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c13,1,1,1,227,245,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c14,1,1,1,246,263,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c15,1,1,1,264,282,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c16,1,1,1,283,301,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c17,1,2,1,302,320,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c18,1,1,1,321,339,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c19,1,2,1,340,358,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c20,1,2,1,359,377,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c21,1,2,1,378,395,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c22,1,2,1,396,414,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c23,1,2,1,415,433,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c24,1,3,1,434,452,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c25,1,2,1,453,471,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c26,1,2,1,472,490,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c27,1,2,1,491,508,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c28,1,2,1,509,527,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c29,1,2,1,528,546,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c30,1,2,1,547,565,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c31,1,2,1,566,584,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c32,1,2,1,585,603,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c33,1,2,1,604,622,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c34,1,2,1,623,640,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c35,1,2,1,641,659,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c36,1,1,1,660,678,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c37,1,1,1,679,697,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c38,1,1,1,698,716,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c39,1,1,1,717,735,1,25,./images/slavija-centar.jpeg
slavija-centar_r01_c40,1,1,1,736,754,1,25,./images/slavija-centar.jpeg
slavija-centar_r02_c01,1,NA,0,1,18,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c02,1,NA,0,19,37,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c03,1,NA,0,38,56,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c04,1,NA,0,57,75,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c05,1,NA,0,76,94,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c06,1,NA,0,95,113,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c07,1,3,1,114,131,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c08,1,2,1,132,150,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c09,1,1,1,151,169,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c10,1,1,1,170,188,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c11,1,1,1,189,207,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c12,1,1,1,208,226,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c13,1,1,1,227,245,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c14,1,1,1,246,263,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c15,1,1,1,264,282,26,50,./images/slavija-centar.jpeg
