cell_id,zone_id,stratum,include,x0,x1,y0,y1,img_path,strata_score,black_frac,stratum_auto
slavija-centar_r01_c01,1,,0,1,18,1,25,./images/slavija-centar.jpeg,-inf,1.0,
slavija-centar_r01_c02,1,,0,19,37,1,25,./images/slavija-centar.jpeg,-inf,1.0,
slavija-centar_r01_c03,1,3,1,38,56,1,25,./images/slavija-centar.jpeg,0.21953061926577888,0.8631578947368421,3
slavija-centar_r01_c04,1,,0,57,75,1,25,./images/slavija-centar.jpeg,-inf,0.9305263157894736,
slavija-centar_r01_c05,1,3,1,76,94,1,25,./images/slavija-centar.jpeg,0.0758816171188544,0.6863157894736842,3
slavija-centar_r01_c06,1,3,1,95,113,1,25,./images/slavija-centar.jpeg,0.08387610872669773,0.0,3
slavija-centar_r01_c07,1,3,1,114,131,1,25,./images/slavija-centar.jpeg,0.19213750445367198,0.0022222222222222222,3
slavija-centar_r01_c08,1,3,1,132,150,1,25,./images/slavija-centar.jpeg,0.33323542105531867,0.004210526315789474,3
slavija-centar_r01_c09,1,1,1,151,169,1,25,./images/slavija-centar.jpeg,0.3760388246979467,0.00631578947368421,1
slavija-centar_r01_c10,1,1,1,170,188,1,25,./images/slavija-centar.jpeg,0.36992654272421155,0.008421052631578947,1
slavija-centar_r01_c11,1,1,1,189,207,1,25,./images/slavija-centar.jpeg,0.38383669327201575,0.002105263157894737,1
slavija-centar_r01_c12,1,1,1,208,226,1,25,./images/slavija-centar.jpeg,0.36838106713999863,0.002105263157894737,1
slavija-centar_r01_c13,1,1,1,227,245,1,25,./images/slavija-centar.jpeg,0.3700668865045109,0.0,1
slavija-centar_r01_c14,1,1,1,246,263,1,25,./images/slavija-centar.jpeg,0.37645980192419215,0.0022222222222222222,1
slavija-centar_r01_c15,1,1,1,264,282,1,25,./images/slavija-centar.jpeg,0.39343452801041057,0.00631578947368421,1
slavija-centar_r01_c16,1,1,1,283,301,1,25,./images/slavija-centar.jpeg,0.3806211150468435,0.010526315789473684,1
slavija-centar_r01_c17,1,1,1,302,320,1,25,./images/slavija-centar.jpeg,0.3616523642570342,0.010526315789473684,1
slavija-centar_r01_c18,1,1,1,321,339,1,25,./images/slavija-centar.jpeg,0.3841365147572632,0.008421052631578947,1
slavija-centar_r01_c19,1,2,1,340,358,1,25,./images/slavija-centar.jpeg,0.3533578435097633,0.01263157894736842,2
slavija-centar_r01_c20,1,1,1,359,377,1,25,./images/slavija-centar.jpeg,0.36023655153935374,0.018947368421052633,1
slavija-centar_r01_c21,1,3,1,378,395,1,25,./images/slavija-centar.jpeg,0.3326228548493961,0.02,3
slavija-centar_r01_c22,1,3,1,396,414,1,25,./images/slavija-centar.jpeg,0.32134532654524023,0.01263157894736842,3
slavija-centar_r01_c23,1,2,1,415,433,1,25,./images/slavija-centar.jpeg,0.3509807363394036,0.004210526315789474,2
slavija-centar_r01_c24,1,3,1,434,452,1,25,./images/slavija-centar.jpeg,0.310154637589686,0.00631578947368421,3
slavija-centar_r01_c25,1,3,1,453,471,1,25,./images/slavija-centar.jpeg,0.32625448778444693,0.008421052631578947,3
slavija-centar_r01_c26,1,3,1,472,490,1,25,./images/slavija-centar.jpeg,0.32827555360322813,0.002105263157894737,3
slavija-centar_r01_c27,1,3,1,491,508,1,25,./images/slavija-centar.jpeg,0.3309493075919477,0.0044444444444444444,3
slavija-centar_r01_c28,1,1,1,509,527,1,25,./images/slavija-centar.jpeg,0.3590404583100302,0.004210526315789474,1
slavija-centar_r01_c29,1,1,1,528,546,1,25,./images/slavija-centar.jpeg,0.36863776229546685,0.004210526315789474,1
slavija-centar_r01_c30,1,2,1,547,565,1,25,./images/slavija-centar.jpeg,0.34553301439050776,0.0,2
slavija-centar_r01_c31,1,3,1,566,584,1,25,./images/slavija-centar.jpeg,0.3348212593350064,0.004210526315789474,3
slavija-centar_r01_c32,1,2,1,585,603,1,25,./images/slavija-centar.jpeg,0.3472422980701868,0.008421052631578947,2
